content_type,title,release_year,genres,imdb_rating,runtime,age_rating,production_country,streaming_service,url
movie,Sirai(2025),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 7:11 PM, A.V. Anoop, Amanuda, Anishma Anilkumar, Apple TV",https://www.justwatch.com/in/movie/sirai
movie,The Maid(2014),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, After Ever Happy, Apple TV, Avatar: Fire and Ash, Avengers: Doomsday, Avengers: Secret Wars",https://www.justwatch.com/in/movie/the-maid
movie,The Bluff(2026),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 36 China Town, Afterburn, Agneepath, Aitraaz, Amazon Prime Video",https://www.justwatch.com/in/movie/the-bluff
movie,American Kamasutra(2018),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, A Jazzman's Blues, Alec Knight, All the Pretty Horses, American Kamasutra, Anastasia Zorin-Machado",https://www.justwatch.com/in/movie/american-kamasutra
movie,What Other Couples Do(2013),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 30 Nights with My (Ex) Husband, Anthony, Apple TV, Avatar: Fire and Ash, Avengers: Doomsday",https://www.justwatch.com/in/movie/what-other-couples-do
movie,Tu Meri Main Tera Main Tera Tu Meri(2025),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, Afnan Fazli, Alludu Adhurs, Amazon Prime Video, Amazon Prime Video with Ads, Amazon Video",https://www.justwatch.com/in/movie/tu-meri-main-tera-main-tera-tu-meri-2025
movie,Mon Potongo(2024),,Not Available,,Not Available,Not Available,Not Available,"1122 Ii Fuufu, 12 Steps to Recovery, 1888, 28 Years Later: The Bone Temple, Aag, Am Ah",https://www.justwatch.com/in/movie/mon-potongo
movie,Lotgenoten(2013),,Not Available,,Not Available,Not Available,Not Available,"21 Paraíso, 28 Years Later: The Bone Temple, Alfred Heppener, Anthony, Apple TV, Avatar: Fire and Ash",https://www.justwatch.com/in/movie/lotgenoten
movie,Predator: Badlands(2025),,Not Available,,Not Available,Not Available,Not Available,"10 Cloverfield Lane, 20th Century Women, 28 Years Later, Alison Wright, All the Bright Places, Amazon Video",https://www.justwatch.com/in/movie/predator-badlands
movie,Marty Supreme(2025),,Not Available,,Not Available,Not Available,Not Available,"""Wuthering Heights"", 28 Years Later: The Bone Temple, A Man Named Scott, Abel Ferrara, Adam Sandler: Love You, Amiche mai",https://www.justwatch.com/in/movie/marty-supreme
movie,Kis Kisko Pyaar Karoon 2(2025),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, ABCD 2, Akhilendra Mishra, Alludu Seenu, Anil Charanjeett, Apple TV",https://www.justwatch.com/in/movie/kis-kisko-pyaar-karoon-2
movie,Sapio(2023),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, A Perfect Murder, After Fall, Winter, After the Outbreak, Aksar 2, All God's Creatures",https://www.justwatch.com/in/movie/sapio
movie,Anaganaga Oka Raju(2026),,Not Available,,Not Available,Not Available,Not Available,"#WorstChristmasEver, 1: Nenokkadine, 28 Years Later: The Bone Temple, 7:11 PM, Agent Sai Srinivasa Athreya, Akhanda 2: Thaandavam",https://www.justwatch.com/in/movie/anaganaga-oka-raju
movie,Anaconda(2025),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 53 Sundays, Amazon Video, Anaconda, Andakagasam, Apple TV",https://www.justwatch.com/in/movie/the-anaconda
movie,Naari Naari Naduma Murari(2026),,Not Available,,Not Available,Not Available,Not Available,"#WorstChristmasEver, 28 Years Later: The Bone Temple, 4 The People, 7:11 PM, Amazon Prime Video, Anaganaga Oka Raju",https://www.justwatch.com/in/movie/nari-nari-naduma-murari-2026
movie,Mardaani 3(2026),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 7:11 PM, Aeklavya Tomer, Alpha, Apple TV, Avatar: Fire and Ash",https://www.justwatch.com/in/movie/mardaani-3
